ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn53404592,case_2041.mp4,1,video/mp4,118102935,3465426,1706130608790,3465426,1706130608790,syn53404507,https://www.synapse.org/#!Synapse:syn53404592.1,67bd05b1710bd323e746cc648410b1a2,/Users/mahtab/.synapseCache/558/132624558/case_2041.mp4,
syn53404593,case_2042.mp4,1,video/mp4,60413237,3465426,1706130627153,3465426,1706130627153,syn53404507,https://www.synapse.org/#!Synapse:syn53404593.1,76a3b2cd6c850b983d6ec02fd9e729a8,/Users/mahtab/.synapseCache/559/132624559/case_2042.mp4,
syn53404595,case_2043.mp4,1,video/mp4,96371003,3465426,1706130655011,3465426,1706130655011,syn53404507,https://www.synapse.org/#!Synapse:syn53404595.1,4518eed0f0d099bc82c087354170fd33,/Users/mahtab/.synapseCache/562/132624562/case_2043.mp4,
syn53404596,case_2044.mp4,1,video/mp4,72573476,3465426,1706130678235,3465426,1706130678235,syn53404507,https://www.synapse.org/#!Synapse:syn53404596.1,0bc60235ba29906ca99c38a0a954432c,/Users/mahtab/.synapseCache/563/132624563/case_2044.mp4,
syn53404599,case_2046.mp4,1,video/mp4,86971342,3465426,1706130805549,3465426,1706130805549,syn53404507,https://www.synapse.org/#!Synapse:syn53404599.1,fb1395867cd813c5bf88e76bb91cb386,/Users/mahtab/.synapseCache/570/132624570/case_2046.mp4,
syn53404600,case_2047.mp4,1,video/mp4,81402820,3465426,1706130829230,3465426,1706130829230,syn53404507,https://www.synapse.org/#!Synapse:syn53404600.1,9d2cc5beed0658c6bf1ca8c029a0a51e,/Users/mahtab/.synapseCache/571/132624571/case_2047.mp4,
syn53404602,case_2048.mp4,1,video/mp4,77224398,3465426,1706130851761,3465426,1706130851761,syn53404507,https://www.synapse.org/#!Synapse:syn53404602.1,4400e9ea3add482eb07df3a8b94ca3e8,/Users/mahtab/.synapseCache/573/132624573/case_2048.mp4,
syn53404603,case_2049.mp4,1,video/mp4,79565559,3465426,1706130876580,3465426,1706130876580,syn53404507,https://www.synapse.org/#!Synapse:syn53404603.1,7369830f8c524b763fe94f198d94c100,/Users/mahtab/.synapseCache/574/132624574/case_2049.mp4,
syn53404604,case_2050.mp4,1,video/mp4,60640054,3465426,1706130894268,3465426,1706130894268,syn53404507,https://www.synapse.org/#!Synapse:syn53404604.1,663dfff249c423d6075155803b5802c9,/Users/mahtab/.synapseCache/575/132624575/case_2050.mp4,
syn53404605,case_2051.mp4,1,video/mp4,103892349,3465426,1706130925001,3465426,1706130925001,syn53404507,https://www.synapse.org/#!Synapse:syn53404605.1,9f855a659d76f0053f16e40148c4f814,/Users/mahtab/.synapseCache/576/132624576/case_2051.mp4,
