ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn53404678,case_2100.mp4,1,video/mp4,52518161,3465426,1706132248152,3465426,1706132248152,syn53404507,https://www.synapse.org/#!Synapse:syn53404678.1,8e774f02a7626cf8ed2cfa4ce40d25d6,/Users/mahtab/.synapseCache/719/132624719/case_2100.mp4,
syn53404679,case_2101.mp4,1,video/mp4,74355834,3465426,1706132270495,3465426,1706132270495,syn53404507,https://www.synapse.org/#!Synapse:syn53404679.1,8358366f135be4222e6347acec06e4b0,/Users/mahtab/.synapseCache/720/132624720/case_2101.mp4,
syn53404681,case_2102.mp4,1,video/mp4,63842892,3465426,1706132291621,3465426,1706132291621,syn53404507,https://www.synapse.org/#!Synapse:syn53404681.1,f6a52de0f3ba7d10308f1707f8afd176,/Users/mahtab/.synapseCache/722/132624722/case_2102.mp4,
syn53404682,case_2103.mp4,1,video/mp4,59474951,3465426,1706132309766,3465426,1706132309766,syn53404507,https://www.synapse.org/#!Synapse:syn53404682.1,c668c7607fe48d1132f596361a3dfc05,/Users/mahtab/.synapseCache/723/132624723/case_2103.mp4,
syn53404683,case_2104.mp4,1,video/mp4,85433744,3465426,1706132337275,3465426,1706132337275,syn53404507,https://www.synapse.org/#!Synapse:syn53404683.1,bf97b33c6a7ece09de837413034957e4,/Users/mahtab/.synapseCache/724/132624724/case_2104.mp4,
syn53404684,case_2105.mp4,1,video/mp4,77486774,3465426,1706132363139,3465426,1706132363139,syn53404507,https://www.synapse.org/#!Synapse:syn53404684.1,38b50d80645c69c1be350b883dd0841b,/Users/mahtab/.synapseCache/725/132624725/case_2105.mp4,
syn53404685,case_2106.mp4,1,video/mp4,56323791,3465426,1706132379956,3465426,1706132379956,syn53404507,https://www.synapse.org/#!Synapse:syn53404685.1,5d63055b71a78d3928e0d631879903dd,/Users/mahtab/.synapseCache/726/132624726/case_2106.mp4,
syn53404686,case_2107.mp4,1,video/mp4,228633961,3465426,1706132447209,3465426,1706132447209,syn53404507,https://www.synapse.org/#!Synapse:syn53404686.1,b827cbe108d4fdfe2a00446cef21e5ef,/Users/mahtab/.synapseCache/727/132624727/case_2107.mp4,
syn53404687,case_2108.mp4,1,video/mp4,203449476,3465426,1706132504449,3465426,1706132504449,syn53404507,https://www.synapse.org/#!Synapse:syn53404687.1,b737324b8f15e04b313a9d4e123ef06a,/Users/mahtab/.synapseCache/728/132624728/case_2108.mp4,
syn53404688,case_2109.mp4,1,video/mp4,124006079,3465426,1706132540229,3465426,1706132540229,syn53404507,https://www.synapse.org/#!Synapse:syn53404688.1,e9eca9ad26a9b0fc952627be07979aa0,/Users/mahtab/.synapseCache/729/132624729/case_2109.mp4,
syn53404690,case_2110.mp4,1,video/mp4,107701868,3465426,1706132573179,3465426,1706132573179,syn53404507,https://www.synapse.org/#!Synapse:syn53404690.1,8a2bd44f6792ed5437515125c3a12bc8,/Users/mahtab/.synapseCache/731/132624731/case_2110.mp4,
syn53404692,case_2111.mp4,1,video/mp4,64420733,3465426,1706132594086,3465426,1706132594086,syn53404507,https://www.synapse.org/#!Synapse:syn53404692.1,84d3d95f4125f3486a5180dc78d8df1f,/Users/mahtab/.synapseCache/733/132624733/case_2111.mp4,
syn53404693,case_2112.mp4,1,video/mp4,47708199,3465426,1706132609640,3465426,1706132609640,syn53404507,https://www.synapse.org/#!Synapse:syn53404693.1,cdb84f259409967ff391a0ab2de28fff,/Users/mahtab/.synapseCache/734/132624734/case_2112.mp4,
syn53404694,case_2113.mp4,1,video/mp4,49485130,3465426,1706132625873,3465426,1706132625873,syn53404507,https://www.synapse.org/#!Synapse:syn53404694.1,4f881f58a8b682b335096e73dff367cb,/Users/mahtab/.synapseCache/735/132624735/case_2113.mp4,
syn53404695,case_2114.mp4,1,video/mp4,57508080,3465426,1706132642960,3465426,1706132642960,syn53404507,https://www.synapse.org/#!Synapse:syn53404695.1,497b8a48901dce00f6f3c0ce70bf9085,/Users/mahtab/.synapseCache/736/132624736/case_2114.mp4,
syn53404698,case_2115.mp4,1,video/mp4,48013047,3465426,1706132657536,3465426,1706132657536,syn53404507,https://www.synapse.org/#!Synapse:syn53404698.1,d3d850a4c091d79aab440a64a1bded52,/Users/mahtab/.synapseCache/742/132624742/case_2115.mp4,
syn53404699,case_2116.mp4,1,video/mp4,71797694,3465426,1706132678628,3465426,1706132678628,syn53404507,https://www.synapse.org/#!Synapse:syn53404699.1,038c8775b9ac1e1827a9c4c252f90567,/Users/mahtab/.synapseCache/743/132624743/case_2116.mp4,
syn53404702,case_2117.mp4,1,video/mp4,66392838,3465426,1706132698629,3465426,1706132698629,syn53404507,https://www.synapse.org/#!Synapse:syn53404702.1,f9ee968c60fa5042f9bf5cfa87c92cda,/Users/mahtab/.synapseCache/750/132624750/case_2117.mp4,
